long,lat,Herb,Litter,Bare,Shrub,Ann_Herb,treecanopy,Herb_t,Litter_t,Bare_t,Shrub_t,Ann_Herb_t,treecanopy_t
-109.9714,37.63476,9.0,21.0,65.0,17.0,0.0,9.0,0.42,0.8,0.65,0.37,0.0,0.31
-109.9693,37.62631,8.0,25.0,38.0,18.0,0.0,10.0,0.37,0.96,0.33,0.39,0.0,0.34
-109.969,37.61284,12.0,8.0,51.0,18.0,0.0,24.0,0.58,0.28,0.48,0.39,0.0,0.83
-109.9679,37.61654,10.0,9.0,54.0,15.0,0.0,7.0,0.47,0.32,0.52,0.33,0.0,0.24
-109.9679,37.62974,15.0,21.0,35.0,26.0,0.0,26.0,0.74,0.8,0.29,0.57,0.0,0.9
-109.9673,37.62868,3.0,10.0,54.0,11.0,0.0,0.0,0.11,0.36,0.52,0.24,0.0,0.0
-109.9669,37.62446,1.0,1.0,93.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0
-109.9662,37.60783,10.0,13.0,53.0,17.0,0.0,9.0,0.47,0.48,0.51,0.37,0.0,0.31
-109.9662,37.63159,12.0,24.0,29.0,31.0,0.0,12.0,0.58,0.92,0.22,0.67,0.0,0.41
-109.9659,37.62525,18.0,19.0,37.0,22.0,0.0,18.0,0.89,0.72,0.31,0.48,0.0,0.62
